Data Management, ci-repo-dst-mdm-profisee_hotfix-0404-mdm-deployment_20220404_.2, ci-repo-dst-mdm-profisee, succeeded, 04/05/2022 02:12:49
Data Management, ci-repo-dst-snowflake-cdw_main_20220404_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/04/2022 19:32:50
Data Management, ci-repo-dst-snowflake-cdw_develop_20220404_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/04/2022 19:32:29
Data Management, ci-repo-dst-sql-dba_develop_20220404_10_0.1, ci-repo-dst-sql-dba, succeeded, 04/04/2022 14:01:10
Data Management, ci-repo-dst-mdm-profisee_hotfix-0404-mdm-deployment_20220404_.1, ci-repo-dst-mdm-profisee, succeeded, 04/04/2022 13:30:15
Data Management, ci-repo-dst-snowflake-cdw_hotfix-2500-Fix-to-handle-orphan-Contacts_20220401_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/01/2022 22:20:48
Data Management, ci-repo-dst-adf-cdw-load_main_20220401_16_57.1, ci-repo-dst-adf-cdw-load, succeeded, 04/01/2022 20:57:10
Data Management, ci-repo-dst-adf-cdw-load_hotfix-trigger_update_040122_20220401_15_27.2, ci-repo-dst-adf-cdw-load, succeeded, 04/01/2022 19:31:06
Data Management, ci-repo-dst-snowflake-cdw_hotfix-production-0401-execution_20220401_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/01/2022 18:29:46
Data Management, ci-repo-dst-snowflake-cdw_main_20220401_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/01/2022 18:12:12
Data Management, ci-repo-dst-adf-cdw-load_hotfix-Profisee-Outbound-StatusUpdate_20220401_14_11.1, ci-repo-dst-adf-cdw-load, succeeded, 04/01/2022 18:11:26
Data Management, ci-repo-dst-snowflake-cdw_develop_20220401_.1, ci-repo-dst-snowflake-cdw, succeeded, 04/01/2022 18:01:31
Data Management, ci-repo-dst-adf-cdw-load_develop_20220401_10_17.1, ci-repo-dst-adf-cdw-load, succeeded, 04/01/2022 14:17:34
Data Management, cd-repo-dst-sql-dba, TEST, notDeployed, 01/01/0001 00:00:00
Data Management, cd-repo-dst-snowflake-cdw, PREPROD, notDeployed, 01/01/0001 00:00:00
Data Management, cd-repo-dst-snowflake-cdw, TEST, succeeded, 04/25/2022 20:03:58
Data Management, cd-repo-dst-snowflake-cdw, PREPROD, notDeployed, 01/01/0001 00:00:00
Data Management, cd-repo-dst-snowflake-cdw, TEST, succeeded, 04/25/2022 20:00:49
Data Management, cd-repo-dst-mdm-profisee, PROD, notDeployed, 01/01/0001 00:00:00
Data Management, cd-repo-dst-mdm-profisee, PREPROD, succeeded, 04/25/2022 16:46:40
Data Management, cd-repo-dst-mdm-profisee, TEST, succeeded, 04/22/2022 19:34:07
Data Management, cd-repo-dst-mdm-profisee, DEV, succeeded, 04/22/2022 18:19:05
Data Management, cd-repo-dst-mdm-profisee, TEST, notDeployed, 01/01/0001 00:00:00
Data Management, cd-repo-dst-mdm-profisee, TEST, notDeployed, 01/01/0001 00:00:00
